./images/raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,Wild Type,Dark Adapted,2022-1-10,3,14,,19k,500
./images/raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,Wild Type,Dark Adapted,2022-1-10,3,24,,25k,200
./images/raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,Wild Type,Dark Adapted,2023-2-14,1,013,,19k,500
./images/raw_images/2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,Wild Type,Dark Adapted,2023-2-14,1,023,,19k,500
./images/raw_images/2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,Wild Type,Dark Adapted,2023-2-14,1,025,,19k,500
./images/raw_images/2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,Wild Type,Dark Adapted,2023-2-14,2,009,,19k,500
./images/raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,Wild Type,Dark Adapted,2023-2-14,2,014,,19k,500
./images/raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,Wild Type,Dark Adapted,2023-2-14,2,016,,19k,500
./images/raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,Wild Type,Dark Adapted,2023-2-9,1,027,,19k,500
./images/raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,Wild Type,Dark Adapted,2023-2-9,1,031,,19k,500
./images/raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,Wild Type,Dark Adapted,2023-2-9,2,041,,19k,500
./images/raw_images/2023-2-9_Wild Type_Dark Adapted_2_054_19k.png,Wild Type,Dark Adapted,2023-2-9,2,054,,19k,500
./images/raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,Wild Type,Dark Adapted,2023-9-4,1,004,,25k,200
./images/raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,Wild Type,Dark Adapted,2023-9-4,1,006,,19k,500
./images/raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,Wild Type,Dark Adapted,2023-9-4,2,005,,25k,200
./images/raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,Wild Type,Dark Adapted,2023-9-4,2,012,,25k,200
./images/raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,Wild Type,Dark Adapted,2023-9-4,2,016,,25k,200
./images/raw_images/2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,Wild Type,Dark Adapted,2023-9-4,3,003,,25k,200
./images/raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,Wild Type,Dark Adapted,2023-9-4,3,012,,25k,200
