strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,74.59767441860465,5,12.21,3.516369047619051,7650.0,lumen,0,131_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,74.59767441860465,5,14.19,3.1337719298245617,7650.0,lumen,1,131_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,74.59767441860465,5,14.2,3.515856236786469,7650.0,lumen,2,131_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,74.59767441860465,5,14.88,4.160441426146008,6885.0,lumen,3,131_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,74.59767441860465,5,12.48,4.3439153439153415,6120.0,lumen,4,131_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.52592592592592,7,14.76,4.547979797979796,7650.0,lumen,0,131_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.52592592592592,7,17.57,5.162162162162161,7650.0,lumen,1,131_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.52592592592592,7,18.51,5.357843137254903,7012.5,lumen,2,131_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.52592592592592,7,16.73,3.6666666666666714,5737.5,lumen,3,131_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.52592592592592,7,16.94,3.837301587301596,7650.0,lumen,4,131_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.52592592592592,7,17.05,4.302294197031031,7140.0,lumen,5,131_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.52592592592592,7,14.38,3.415325670498106,7140.0,lumen,6,131_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,81.64999999999999,5,11.55,5.588628762541806,8160.0,lumen,0,131_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,81.64999999999999,5,15.04,4.3012820512820475,7650.0,lumen,1,131_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,81.64999999999999,5,17.48,4.233333333333334,7650.0,lumen,2,131_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,81.64999999999999,5,16.91,3.398275862068971,7012.5,lumen,3,131_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,81.64999999999999,5,14.19,2.6107142857142946,6502.5,lumen,4,131_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,88.00396825396825,5,16.14,5.1006289308176065,7650.0,lumen,0,131_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,88.00396825396825,5,26.58,4.633633633633629,7650.0,lumen,1,131_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,88.00396825396825,5,0.0,3.8484848484848584,1912.5,lumen,2,131_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,88.00396825396825,5,21.54,4.120370370370367,4335.0,lumen,3,131_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,88.00396825396825,5,16.16,7.485119047619037,11602.5,lumen,4,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,11.62,3.1071428571428577,7650.0,lumen,0,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,14.19,3.8280780780780717,7650.0,lumen,1,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,13.69,3.609133126934985,6757.5,lumen,2,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,26.57,3.284584980237156,7650.0,lumen,3,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,0.0,2.6388888888888857,2932.5,lumen,4,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,0.0,2.2307692307692264,2550.0,lumen,5,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,26.16,3.1102564102564116,7650.0,lumen,6,131_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,109.25695216907675,8,10.72,2.7617647058823422,6630.0,lumen,7,131_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.44090909090909,6,12.01,3.3914835164835146,6502.5,lumen,0,131_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.44090909090909,6,14.64,3.3216463414634134,7650.0,lumen,1,131_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.44090909090909,6,13.68,2.951086956521742,7012.5,lumen,2,131_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.44090909090909,6,14.34,3.455590386624877,7650.0,lumen,3,131_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.44090909090909,6,15.26,4.217741935483872,7650.0,lumen,4,131_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,89.44090909090909,6,12.85,4.152310924369743,6757.5,lumen,5,131_otsuOffset
