strip,filename,box_size,x,y
70,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,200,936,976
71,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,1836,664
72,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,1276,1236
73,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,268,1076
74,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,692,1664
75,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,1000,416
76,./raw_images/2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,200,632,852
77,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,872,312
78,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,1380,780
79,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,896,1236
80,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,1100,800
81,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_027_19k.png,200,1816,1308
82,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,972,208
83,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,1464,680
84,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,1576,1088
85,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,1596,1640
86,./raw_images/2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,200,428,296
87,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,200,312,424
88,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_054_19k.png,200,1468,164
89,./raw_images/2023-2-9_Wild Type_Dark Adapted_2_054_19k.png,200,912,1136
90,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1792,1260
91,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1516,1164
92,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1100,972
93,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,768,484
94,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1320,356
95,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,200,1404,1696
96,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,200,1428,328
97,./raw_images/2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,200,1312,1696
98,./raw_images/2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,200,996,1196
99,./raw_images/2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,200,1468,296
