strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,0.0,3.5,765.0,41,lumen,6_otsuOffset,0
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,0.0,2.6000000000000014,1147.5,55,lumen,6_otsuOffset,1
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,20.39,4.364285714285721,6885.0,64,lumen,6_otsuOffset,2
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,5.18,1.0,1402.5,70,lumen,6_otsuOffset,3
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,21.85,5.7908787541713025,7650.0,86,lumen,6_otsuOffset,4
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,0.0,1.8333333333333286,510.0,94,lumen,6_otsuOffset,5
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,21.73,6.257215619694392,7650.0,107,lumen,6_otsuOffset,6
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,0.0,2.0,637.5,115,lumen,6_otsuOffset,7
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,9,17.3,6.055023923444963,6120.0,129,lumen,6_otsuOffset,8
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,14.45,3.484375,5992.5,19,lumen,6_otsuOffset,0
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,0.0,4.285714285714285,1275.0,31,lumen,6_otsuOffset,1
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,22.14,7.242456896551722,7650.0,40,lumen,6_otsuOffset,2
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,21.25,7.269230769230774,7650.0,61,lumen,6_otsuOffset,3
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,5.2,1.0999999999999943,2295.0,76,lumen,6_otsuOffset,4
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,11.69,9.23764705882354,7650.0,84,lumen,6_otsuOffset,5
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,5.23,0.75,4207.5,90,lumen,6_otsuOffset,6
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,3.35,1.7000000000000028,2295.0,96,lumen,6_otsuOffset,7
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,2.05,0.6176470588235361,5865.0,99,lumen,6_otsuOffset,8
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,15.11,6.634615384615387,7650.0,105,lumen,6_otsuOffset,9
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,4.88,0.7272727272727337,2167.5,119,lumen,6_otsuOffset,10
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,10.68,4.44736842105263,7650.0,124,lumen,6_otsuOffset,11
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,3.7,1.0,2677.5,132,lumen,6_otsuOffset,12
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,20.77,6.297082228116722,7650.0,144,lumen,6_otsuOffset,13
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,4.9,1.75,3442.5,158,lumen,6_otsuOffset,14
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,16,10.54,5.857456140350877,6757.5,165,lumen,6_otsuOffset,15
10,output\processed_images\6_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,80.71291866028707,5,15.75,5.844758064516128,7650.0,38,lumen,6_otsuOffset,0
