strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,index
101,output\trial_2\processed_images\2_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,[12.15 14.15 14.21 14.81 12.42],[4.09027778 3.76571429 4.11961722 4.47681452 4.09661836],[7650. 7650. 7650. 7650. 7650.],[31 46 59 74 88],lumen,"[0, 1, 2, 3, 4]"
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,[14.88 17.42 18.25 16.91 16.76 17.2  14.61],"[5.83035714 5.81081081 5.79032258 4.94285714 4.84027778 5.60278746
 4.93868922]",[7650.  7650.  7650.  5992.5 7650.  7140.  7650. ],[ 33  50  69  86 103 121 136],lumen,"[0, 1, 2, 3, 4, 5, 6]"
134,output\trial_2\processed_images\2_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,[14.97 17.42 17.09 14.04],[4.83981693 4.92028986 4.8469697  4.0162963 ],[7650.  7650.  7012.5 6630. ],[32 48 66 84],lumen,"[0, 1, 2, 3]"
135,output\trial_2\processed_images\2_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,4,[16.22 25.82  0.   22.75],[5.61764706 5.07891156 4.15056818 4.14583333],[7650.  7650.  2167.5 7650. ],[33 51 69 85],lumen,"[0, 1, 2, 3]"
161,output\trial_2\processed_images\2_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,8,[11.61 14.04 13.95 14.04 13.1  11.48 13.86 10.71],"[3.90639535 4.4962406  4.12316716 4.06653226 3.13125695 2.47727273
 3.97163121 3.31410256]",[7650.  7650.  7650.  7650.  7140.  5100.  7650.  6757.5],[ 30  43  58  71  85  98 111 123],lumen,"[0, 1, 2, 3, 4, 5, 6, 7]"
176,output\trial_2\processed_images\2_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,[11.85 14.69 13.66 14.53 15.57 12.61],[3.65714286 4.09139785 3.51503759 4.39123242 5.22916667 4.44345238],[6630. 7650. 7650. 7650. 7650. 7650.],[ 31  45  58  73  87 103],lumen,"[0, 1, 2, 3, 4, 5]"
187,output\trial_2\processed_images\2_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,5,[12.91 16.59 15.58 16.1  12.6 ],[3.63101604 5.31081081 4.5021645  5.10162602 3.84615385],[7650. 7650. 7650. 7650. 7650.],[29 44 61 76 92],lumen,"[0, 1, 2, 3, 4]"
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,[14.88 18.81 17.17 17.43 16.23 17.87 13.16],"[5.41218638 6.91911765 5.20496894 5.71785714 4.23890063 5.88131313
 3.95723684]",[7650.  7650.  7650.  7650.  7650.  7650.  6757.5],[ 31  49  67  85 101 119 135],lumen,"[0, 1, 2, 3, 4, 5, 6]"
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,[12.59 14.96 14.7  15.55 15.12 13.9  15.33 14.6  15.22 14.93 12.36],"[5.09090909 5.22337662 5.1510989  6.04395604 4.78571429 3.78571429
 5.37179487 4.68531469 5.57912458 5.28490028 3.55714286]","[5865.  7650.  7650.  7650.  7650.  7650.  7650.  6757.5 7650.  7650.
 7650. ]",[ 32  45  61  76  90 106 119 135 150 164 180],lumen,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
