strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,index,process
176,output\trial_2\processed_images\2_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,12.61,4.44345238095238,7650.0,103,lumen,5,2_otsuOffset
187,output\trial_2\processed_images\2_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,5,12.91,3.6310160427807467,7650.0,29,lumen,0,2_otsuOffset
187,output\trial_2\processed_images\2_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,5,16.59,5.310810810810814,7650.0,44,lumen,1,2_otsuOffset
187,output\trial_2\processed_images\2_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,5,15.58,4.502164502164504,7650.0,61,lumen,2,2_otsuOffset
187,output\trial_2\processed_images\2_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,5,16.1,5.101626016260155,7650.0,76,lumen,3,2_otsuOffset
187,output\trial_2\processed_images\2_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,5,12.6,3.8461538461538396,7650.0,92,lumen,4,2_otsuOffset
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,14.88,5.412186379928315,7650.0,31,lumen,0,2_otsuOffset
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,18.81,6.919117647058826,7650.0,49,lumen,1,2_otsuOffset
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,17.17,5.204968944099377,7650.0,67,lumen,2,2_otsuOffset
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,17.43,5.717857142857142,7650.0,85,lumen,3,2_otsuOffset
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,16.23,4.238900634249475,7650.0,101,lumen,4,2_otsuOffset
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,17.87,5.881313131313135,7650.0,119,lumen,5,2_otsuOffset
229,output\trial_2\processed_images\2_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548387,7,13.16,3.95723684210526,6757.5,135,lumen,6,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,12.59,5.0909090909090935,5865.0,32,lumen,0,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,14.96,5.223376623376623,7650.0,45,lumen,1,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,14.7,5.151098901098898,7650.0,61,lumen,2,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,15.55,6.043956043956044,7650.0,76,lumen,3,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,15.12,4.785714285714278,7650.0,90,lumen,4,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,13.9,3.785714285714292,7650.0,106,lumen,5,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,15.33,5.371794871794862,7650.0,119,lumen,6,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,14.6,4.685314685314694,6757.5,135,lumen,7,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,15.22,5.579124579124567,7650.0,150,lumen,8,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,14.93,5.28490028490026,7650.0,164,lumen,9,2_otsuOffset
232,output\trial_2\processed_images\2_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11,12.36,3.55714285714285,7650.0,180,lumen,10,2_otsuOffset
