strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,11.81,3.514285714285716,7650.0,lumen,0,209_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,14.58,3.8860887096774164,7650.0,lumen,1,209_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,14.01,3.557794273594915,7650.0,lumen,2,209_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,14.92,4.25,7650.0,lumen,3,209_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,12.42,4.283882783882774,7140.0,lumen,4,209_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,14.76,5.0092592592592595,7650.0,lumen,0,209_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,17.46,5.395238095238092,7650.0,lumen,1,209_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,18.35,5.5642857142857025,7650.0,lumen,2,209_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,17.02,4.758064516129039,5865.0,lumen,3,209_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,16.89,4.882352941176464,7650.0,lumen,4,209_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,16.86,5.090517241379317,7140.0,lumen,5,209_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,14.85,4.783400809716596,7650.0,lumen,6,209_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.51625,5,11.12,5.616858237547891,8032.5,lumen,0,209_otsuOffset
