strip,grana_height,grana_height_nm,num_lumen,repeat_distance,repeat_distance_nm,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width,membrane_width
101,72.13333333333333,81.96969696969697,5,[12.02 14.08 13.84 15.3  12.15],[13.66 16.   15.73 17.39 13.81],0.88,1.1363636363636365,500,440,[5.00724638 5.00838415 5.06060606 6.18413978 5.01818182],[4.8        9.23233696 8.91869919 8.64772727 9.57419355 4.68181818]
106,122.55187969924812,111.91952483949599,7,[14.66 17.81 18.2  17.   16.89 17.03 14.35],[13.39 16.26 16.62 15.53 15.42 15.55 13.11],1.095,0.91324200913242,200,219,"[6.44642857 7.23015873 6.85253456 6.08974359 6.07727273 6.44652406
 5.57518797]","[ 6.11547619 10.30952381 10.84587814 11.85714286 10.90734266 10.71818182
 10.44582043  7.10902256]"
134,69.8362480127186,63.77739544540511,4,[14.92 17.33 16.63 14.56],[13.63 15.83 15.19 13.3 ],1.095,0.91324200913242,200,219,[6.55454545 6.70909091 6.08080808 5.68803419],[ 6.23464373 10.49090909 10.74545455 11.16666667  6.57013575]
135,71.76190476190476,65.53598608393128,4,[15.89 18.32 16.15 14.31],[14.51 16.73 14.75 13.07],1.095,0.91324200913242,200,219,[6.71568627 6.8        5.14814815 6.07070707],[ 7.52240896 10.83333333 12.2         9.7962963   6.67532468]
161,107.23313953488373,121.85584038054971,8,[11.48 14.26 13.8  13.74 13.21 12.11 13.45 10.9 ],[13.05 16.2  15.68 15.61 15.01 13.76 15.28 12.39],0.88,1.1363636363636365,500,440,"[4.97394703 5.5075188  4.91666667 4.81332083 4.53787879 3.41920732
 5.03146853 4.70555556]","[4.19643741 8.80880773 8.69642857 9.06808943 8.78904429 8.5625
 8.81374723 8.02307692 4.36944444]"
176,87.4090909090909,99.32851239669422,6,[11.78 14.42 13.71 14.42 15.38 12.75],[13.39 16.39 15.58 16.39 17.48 14.49],0.88,1.1363636363636365,500,440,[4.51923077 5.05555556 5.00699301 5.59090909 6.20833333 5.67615176],"[4.82167832 9.69444444 9.03846154 8.36363636 9.29166667 9.05555556
 5.0864745 ]"
187,79.04040404040404,89.8186409550046,5,[13.08 16.62 15.41 16.14 12.75],[14.86 18.89 17.51 18.34 14.49],0.88,1.1363636363636365,500,440,[5.33468835 6.58333333 5.42105263 6.42909091 5.68181818],[ 5.37373737 10.1097561   9.96929825 10.00631579  9.40909091  4.72222222]
229,121.96480938416421,111.38338756544677,7,[14.89 18.68 17.17 17.31 16.51 17.44 13.65],[13.6  17.06 15.68 15.81 15.08 15.93 12.47],1.095,0.91324200913242,200,219,"[6.60162602 8.07142857 6.5620915  6.95918367 5.89428571 6.8174771
 5.26470588]","[ 6.08602151 10.49361208 10.72222222 10.49459784 10.21428571 11.01767442
 10.2201426   6.54545455]"
232,165.23076923076923,187.76223776223776,11,[12.65 15.3  14.5  15.35 15.32 14.19 15.12 14.56 15.19 15.37 12.09],[14.38 17.39 16.48 17.44 17.41 16.12 17.18 16.55 17.26 17.47 13.74],0.88,1.1363636363636365,500,440,"[6.25892857 6.88392857 5.99300699 6.61190476 6.12837838 5.35648148
 6.23076923 5.5515873  6.77083333 6.9010989  4.78787879]","[5.16826923 8.3452381  8.48295455 8.52820513 8.94305019 9.43518519
 8.2275641  9.55555556 8.45535714 8.38095238 8.55128205 6.04545455]"
