strip,grana_height,grana_height_nm,num_lumen,repeat_distance,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width
101,72.13333333333333,81.96969696969697,5,12.02,0.88,1.1363636363636365,500,440,5.00724637681159
101,72.13333333333333,81.96969696969697,5,14.08,0.88,1.1363636363636365,500,440,5.00724637681159
101,72.13333333333333,81.96969696969697,5,13.84,0.88,1.1363636363636365,500,440,5.00724637681159
101,72.13333333333333,81.96969696969697,5,15.3,0.88,1.1363636363636365,500,440,5.00724637681159
101,72.13333333333333,81.96969696969697,5,12.15,0.88,1.1363636363636365,500,440,5.00724637681159
101,72.13333333333333,81.96969696969697,5,12.02,0.88,1.1363636363636365,500,440,5.008384146341463
101,72.13333333333333,81.96969696969697,5,14.08,0.88,1.1363636363636365,500,440,5.008384146341463
101,72.13333333333333,81.96969696969697,5,13.84,0.88,1.1363636363636365,500,440,5.008384146341463
101,72.13333333333333,81.96969696969697,5,15.3,0.88,1.1363636363636365,500,440,5.008384146341463
101,72.13333333333333,81.96969696969697,5,12.15,0.88,1.1363636363636365,500,440,5.008384146341463
101,72.13333333333333,81.96969696969697,5,12.02,0.88,1.1363636363636365,500,440,5.060606060606055
101,72.13333333333333,81.96969696969697,5,14.08,0.88,1.1363636363636365,500,440,5.060606060606055
101,72.13333333333333,81.96969696969697,5,13.84,0.88,1.1363636363636365,500,440,5.060606060606055
101,72.13333333333333,81.96969696969697,5,15.3,0.88,1.1363636363636365,500,440,5.060606060606055
101,72.13333333333333,81.96969696969697,5,12.15,0.88,1.1363636363636365,500,440,5.060606060606055
101,72.13333333333333,81.96969696969697,5,12.02,0.88,1.1363636363636365,500,440,6.184139784946225
101,72.13333333333333,81.96969696969697,5,14.08,0.88,1.1363636363636365,500,440,6.184139784946225
101,72.13333333333333,81.96969696969697,5,13.84,0.88,1.1363636363636365,500,440,6.184139784946225
101,72.13333333333333,81.96969696969697,5,15.3,0.88,1.1363636363636365,500,440,6.184139784946225
101,72.13333333333333,81.96969696969697,5,12.15,0.88,1.1363636363636365,500,440,6.184139784946225
101,72.13333333333333,81.96969696969697,5,12.02,0.88,1.1363636363636365,500,440,5.018181818181816
101,72.13333333333333,81.96969696969697,5,14.08,0.88,1.1363636363636365,500,440,5.018181818181816
101,72.13333333333333,81.96969696969697,5,13.84,0.88,1.1363636363636365,500,440,5.018181818181816
101,72.13333333333333,81.96969696969697,5,15.3,0.88,1.1363636363636365,500,440,5.018181818181816
101,72.13333333333333,81.96969696969697,5,12.15,0.88,1.1363636363636365,500,440,5.018181818181816
106,122.55187969924812,111.91952483949599,7,14.66,1.095,0.91324200913242,200,219,6.446428571428573
106,122.55187969924812,111.91952483949599,7,17.81,1.095,0.91324200913242,200,219,6.446428571428573
106,122.55187969924812,111.91952483949599,7,18.2,1.095,0.91324200913242,200,219,6.446428571428573
106,122.55187969924812,111.91952483949599,7,17.0,1.095,0.91324200913242,200,219,6.446428571428573
106,122.55187969924812,111.91952483949599,7,16.89,1.095,0.91324200913242,200,219,6.446428571428573
106,122.55187969924812,111.91952483949599,7,17.03,1.095,0.91324200913242,200,219,6.446428571428573
106,122.55187969924812,111.91952483949599,7,14.35,1.095,0.91324200913242,200,219,6.446428571428573
106,122.55187969924812,111.91952483949599,7,14.66,1.095,0.91324200913242,200,219,7.230158730158728
106,122.55187969924812,111.91952483949599,7,17.81,1.095,0.91324200913242,200,219,7.230158730158728
106,122.55187969924812,111.91952483949599,7,18.2,1.095,0.91324200913242,200,219,7.230158730158728
106,122.55187969924812,111.91952483949599,7,17.0,1.095,0.91324200913242,200,219,7.230158730158728
106,122.55187969924812,111.91952483949599,7,16.89,1.095,0.91324200913242,200,219,7.230158730158728
106,122.55187969924812,111.91952483949599,7,17.03,1.095,0.91324200913242,200,219,7.230158730158728
106,122.55187969924812,111.91952483949599,7,14.35,1.095,0.91324200913242,200,219,7.230158730158728
106,122.55187969924812,111.91952483949599,7,14.66,1.095,0.91324200913242,200,219,6.8525345622119715
106,122.55187969924812,111.91952483949599,7,17.81,1.095,0.91324200913242,200,219,6.8525345622119715
106,122.55187969924812,111.91952483949599,7,18.2,1.095,0.91324200913242,200,219,6.8525345622119715
106,122.55187969924812,111.91952483949599,7,17.0,1.095,0.91324200913242,200,219,6.8525345622119715
106,122.55187969924812,111.91952483949599,7,16.89,1.095,0.91324200913242,200,219,6.8525345622119715
106,122.55187969924812,111.91952483949599,7,17.03,1.095,0.91324200913242,200,219,6.8525345622119715
