strip,grana_height,grana_height_nm,num_lumen,px_per_nm,nm_per_px,scale,scale_pixels,membrane_width
101,72.13333333333333,81.96969696969697,5,0.88,1.1363636363636365,500,440,4.800000000000001
101,72.13333333333333,81.96969696969697,5,0.88,1.1363636363636365,500,440,9.232336956521742
101,72.13333333333333,81.96969696969697,5,0.88,1.1363636363636365,500,440,8.918699186991873
101,72.13333333333333,81.96969696969697,5,0.88,1.1363636363636365,500,440,8.64772727272728
101,72.13333333333333,81.96969696969697,5,0.88,1.1363636363636365,500,440,9.5741935483871
101,72.13333333333333,81.96969696969697,5,0.88,1.1363636363636365,500,440,4.681818181818187
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,6.1154761904761905
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,10.30952380952381
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,10.845878136200724
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,11.857142857142861
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,10.907342657342653
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,10.718181818181819
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,10.445820433436538
106,122.55187969924812,111.91952483949599,7,1.095,0.91324200913242,200,219,7.109022556390983
134,69.8362480127186,63.77739544540511,4,1.095,0.91324200913242,200,219,6.234643734643736
134,69.8362480127186,63.77739544540511,4,1.095,0.91324200913242,200,219,10.490909090909092
134,69.8362480127186,63.77739544540511,4,1.095,0.91324200913242,200,219,10.74545454545455
134,69.8362480127186,63.77739544540511,4,1.095,0.91324200913242,200,219,11.166666666666657
134,69.8362480127186,63.77739544540511,4,1.095,0.91324200913242,200,219,6.570135746606326
135,71.76190476190476,65.53598608393128,4,1.095,0.91324200913242,200,219,7.522408963585434
135,71.76190476190476,65.53598608393128,4,1.095,0.91324200913242,200,219,10.833333333333329
135,71.76190476190476,65.53598608393128,4,1.095,0.91324200913242,200,219,12.200000000000003
135,71.76190476190476,65.53598608393128,4,1.095,0.91324200913242,200,219,9.796296296296305
135,71.76190476190476,65.53598608393128,4,1.095,0.91324200913242,200,219,6.675324675324674
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,4.196437407224149
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,8.808807733619759
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,8.69642857142857
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,9.068089430894311
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,8.789044289044298
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,8.5625
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,8.813747228381374
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,8.023076923076914
161,107.23313953488373,121.85584038054971,8,0.88,1.1363636363636365,500,440,4.369444444444454
176,87.4090909090909,99.32851239669422,6,0.88,1.1363636363636365,500,440,4.82167832167832
176,87.4090909090909,99.32851239669422,6,0.88,1.1363636363636365,500,440,9.694444444444443
176,87.4090909090909,99.32851239669422,6,0.88,1.1363636363636365,500,440,9.03846153846154
176,87.4090909090909,99.32851239669422,6,0.88,1.1363636363636365,500,440,8.36363636363636
176,87.4090909090909,99.32851239669422,6,0.88,1.1363636363636365,500,440,9.291666666666671
176,87.4090909090909,99.32851239669422,6,0.88,1.1363636363636365,500,440,9.055555555555557
176,87.4090909090909,99.32851239669422,6,0.88,1.1363636363636365,500,440,5.08647450110864
187,79.04040404040404,89.8186409550046,5,0.88,1.1363636363636365,500,440,5.373737373737374
187,79.04040404040404,89.8186409550046,5,0.88,1.1363636363636365,500,440,10.109756097560975
187,79.04040404040404,89.8186409550046,5,0.88,1.1363636363636365,500,440,9.969298245614034
187,79.04040404040404,89.8186409550046,5,0.88,1.1363636363636365,500,440,10.006315789473689
187,79.04040404040404,89.8186409550046,5,0.88,1.1363636363636365,500,440,9.409090909090907
187,79.04040404040404,89.8186409550046,5,0.88,1.1363636363636365,500,440,4.7222222222222285
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,6.086021505376344
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,10.493612078977932
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,10.722222222222221
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,10.49459783913565
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,10.214285714285722
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,11.017674418604642
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,10.220142602495557
229,121.96480938416421,111.38338756544677,7,1.095,0.91324200913242,200,219,6.5454545454545325
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,5.16826923076923
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.345238095238095
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.482954545454547
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.528205128205123
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.943050193050198
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,9.43518518518519
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.227564102564102
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,9.555555555555543
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.455357142857139
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.38095238095238
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,8.551282051282044
232,165.23076923076923,187.76223776223776,11,0.88,1.1363636363636365,500,440,6.0454545454545325
