strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,12.15,4.219973009446694,7650.0,lumen,0,263_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.23,4.101190476190482,7650.0,lumen,1,263_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.13,4.210526315789473,7650.0,lumen,2,263_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.87,4.605015673981185,7650.0,lumen,3,263_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,12.37,4.096618357487927,7650.0,lumen,4,263_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.96052631578948,7,14.73,5.961180124223599,7650.0,lumen,0,263_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.96052631578948,7,17.66,6.568409343715238,7650.0,lumen,1,263_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.96052631578948,7,18.21,6.109459459459458,7650.0,lumen,2,263_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.96052631578948,7,16.84,5.064467766116948,6120.0,lumen,3,263_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.96052631578948,7,16.89,5.385939741750363,7650.0,lumen,4,263_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.96052631578948,7,17.13,5.820707070707073,7650.0,lumen,5,263_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.96052631578948,7,14.46,5.133962264150938,7650.0,lumen,6,263_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.79629629629629,4,14.8,5.584770114942533,7650.0,lumen,0,263_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.79629629629629,4,17.51,5.598915989159892,7650.0,lumen,1,263_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.79629629629629,4,16.97,5.161616161616152,7140.0,lumen,2,263_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.79629629629629,4,14.16,4.119162640901763,7650.0,lumen,3,263_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,16.09,6.0,7650.0,lumen,0,263_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,18.06,5.737142857142857,7650.0,lumen,1,263_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,16.47,4.629084967320267,6757.5,lumen,2,263_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,14.19,4.622119815668199,7650.0,lumen,3,263_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.3010752688172,8,11.51,3.9202380952380977,7650.0,lumen,0,263_otsuOffset
