strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index,lumen_width_nm
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,6,23.02,7.5,7650.0,80,lumen,0_otsuOffset,3,5.703422053231939
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,6,0.0,2.875,637.5,91,lumen,0_otsuOffset,4,2.1863117870722433
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,6,15.51,4.306561085972845,5737.5,100,lumen,0_otsuOffset,5,3.274951396177068
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,5,15.71,5.472222222222221,5610.0,42,lumen,0_otsuOffset,0,4.16138572032108
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,5,21.39,6.441016333938293,7650.0,60,lumen,0_otsuOffset,1,4.898111280561439
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,5,9.5,5.400000000000006,7140.0,81,lumen,0_otsuOffset,2,4.106463878327
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,5,10.84,5.400000000000006,7140.0,83,lumen,0_otsuOffset,3,4.106463878327
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,5,15.8,7.611111111111114,5610.0,102,lumen,0_otsuOffset,4,5.787917194761303
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,16.23,5.998260869565218,7650.0,25,lumen,0_otsuOffset,0,4.561415109935527
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,0.0,1.1923076923076934,2295.0,36,lumen,0_otsuOffset,1,0.9066978648727706
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,20.76,6.108333333333334,7650.0,47,lumen,0_otsuOffset,2,4.64512040557668
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,0.0,3.0,510.0,57,lumen,0_otsuOffset,3,2.2813688212927756
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,16.81,6.117647058823536,7650.0,68,lumen,0_otsuOffset,4,4.652203086557821
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,4.0,1.3504901960784397,3697.5,77,lumen,0_otsuOffset,5,1.026988742264973
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,-1.16,0.6842105263157947,3952.5,79,lumen,0_otsuOffset,6,0.5203121873123914
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,14.21,6.789682539682545,7650.0,86,lumen,0_otsuOffset,7,5.1632566841692356
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,4.86,0.6428571428571388,3060.0,92,lumen,0_otsuOffset,8,0.4888647474198774
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,4.75,0.5416666666666714,2932.5,100,lumen,0_otsuOffset,9,0.4119138149556436
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,13.72,5.976190476190467,7650.0,105,lumen,0_otsuOffset,10,4.544631540829252
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,4.04,3.729166666666672,2932.5,114,lumen,0_otsuOffset,11,2.835868187579218
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,18.45,9.584684684684674,7650.0,125,lumen,0_otsuOffset,12,7.288733600520665
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,0.0,3.916666666666657,892.5,137,lumen,0_otsuOffset,13,2.978453738910005
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,17.47,4.0895915678524375,6630.0,145,lumen,0_otsuOffset,14,3.1099555649067963
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,16,15.26,6.088435374149668,7650.0,163,lumen,0_otsuOffset,15,4.629988877680356
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,7,2.19,2.6739130434782616,11985.0,28,lumen,0_otsuOffset,0,2.0333939494131266
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,7,5.45,0.5217391304347814,12877.5,30,lumen,0_otsuOffset,1,0.3967597950074383
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,7,8.26,3.0,11220.0,41,lumen,0_otsuOffset,2,2.2813688212927756
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,7,9.68,7.492261904761904,5992.5,44,lumen,0_otsuOffset,3,5.697537570161143
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,7,9.53,4.138888888888886,6885.0,61,lumen,0_otsuOffset,4,3.147444021968734
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,7,9.05,0.5925925925925952,12367.5,63,lumen,0_otsuOffset,5,0.4506407548232663
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,7,18.57,4.268181818181816,5865.0,80,lumen,0_otsuOffset,6,3.2457656412029015
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,15.52,4.554166666666667,7522.5,25,lumen,0_otsuOffset,0,3.4632446134347274
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,0.0,2.857142857142854,1147.5,35,lumen,0_otsuOffset,1,2.1727322107550218
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,20.78,7.575000000000003,7650.0,45,lumen,0_otsuOffset,2,5.760456273764261
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,0.0,1.8999999999999984,765.0,54,lumen,0_otsuOffset,3,1.4448669201520898
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,18.09,5.011904761904759,6375.0,64,lumen,0_otsuOffset,4,3.8113344196994365
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,20.41,7.081853281853284,7650.0,84,lumen,0_otsuOffset,5,5.385439758063334
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,3.22,2.3115942028985472,5100.0,93,lumen,0_otsuOffset,6,1.7578663139912905
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,14.1,9.170000000000002,7650.0,103,lumen,0_otsuOffset,7,6.973384030418252
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,4.58,2.9000000000000057,2295.0,112,lumen,0_otsuOffset,8,2.205323193916354
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,19.16,6.184407796101951,7650.0,125,lumen,0_otsuOffset,9,4.70297170806232
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,19.77,6.658730158730151,7650.0,143,lumen,0_otsuOffset,10,5.06367312450962
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,0.0,2.7142857142857224,1402.5,156,lumen,0_otsuOffset,11,2.0640956002172794
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,13,14.18,4.2315340909090935,7012.5,164,lumen,0_otsuOffset,12,3.2178966470791583
16,output\processed_images\0_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.19780219780219,2,16.43,4.178571428571431,6375.0,34,lumen,0_otsuOffset,0,3.1776208582292247
16,output\processed_images\0_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.19780219780219,2,15.17,3.4366096866096854,5227.5,52,lumen,0_otsuOffset,1,2.6133913966613576
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,0.0,1.0,382.5,39,lumen,0_otsuOffset,0,0.7604562737642585
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,0.0,2.38095238095238,3315.0,42,lumen,0_otsuOffset,1,1.8106101756291861
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,26.35,5.967741935483872,7650.0,58,lumen,0_otsuOffset,2,4.538206795044769
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,26.25,11.25806451612904,7650.0,82,lumen,0_otsuOffset,3,8.56126579173311
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,19.69,5.279487179487177,7650.0,107,lumen,0_otsuOffset,4,4.014819147898994
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,11.49,0.5555555555555571,13897.5,127,lumen,0_otsuOffset,5,0.42247570764681147
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,10.12,8.200000000000017,7650.0,129,lumen,0_otsuOffset,6,6.235741444866933
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,8,16.74,6.897435897435884,6630.0,148,lumen,0_otsuOffset,7,5.245198401091926
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,14.44,3.476190476190478,7650.0,29,lumen,0_otsuOffset,0,2.643490856418614
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,0.0,3.7777777777777786,2040.0,40,lumen,0_otsuOffset,1,2.8728348119983105
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,22.17,7.460829493087559,7650.0,49,lumen,0_otsuOffset,2,5.673634595503847
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,0.0,1.0,382.5,58,lumen,0_otsuOffset,3,0.7604562737642585
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,20.86,7.204334365325067,7650.0,70,lumen,0_otsuOffset,4,5.478581266406895
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,0.0,1.9000000000000057,765.0,81,lumen,0_otsuOffset,5,1.4448669201520954
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,7.6,1.0625,7650.0,87,lumen,0_otsuOffset,6,0.8079847908745247
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,5.96,11.348557692307692,6247.5,93,lumen,0_otsuOffset,7,8.63008189529102
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,7.87,11.348557692307692,6247.5,96,lumen,0_otsuOffset,8,8.63008189529102
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,6.57,1.7708333333333286,6247.5,107,lumen,0_otsuOffset,9,1.346641318124204
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,2.57,0.6500000000000057,7012.5,110,lumen,0_otsuOffset,10,0.49429657794677234
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,13.1,5.799999999999997,6757.5,115,lumen,0_otsuOffset,11,4.410646387832697
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,0.0,1.0,637.5,127,lumen,0_otsuOffset,12,0.7604562737642585
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,16.62,5.294642857142861,7650.0,133,lumen,0_otsuOffset,13,4.026344378055407
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,3.11,1.625,2677.5,142,lumen,0_otsuOffset,14,1.2357414448669202
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,19.95,5.685897435897431,7650.0,154,lumen,0_otsuOffset,15,4.323876377108312
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,5.44,2.7222222222222285,4972.5,166,lumen,0_otsuOffset,16,2.070130967469375
2,output\processed_images\0_otsuOffset\membrane\strip_2.png,1.315,0.7604562737642585,200,263,163.32679738562092,18,10.04,5.280000000000001,6757.5,174,lumen,0_otsuOffset,17,4.015209125475286
20,output\processed_images\0_otsuOffset\membrane\strip_20.png,1.315,0.7604562737642585,200,263,63.587813620071685,3,15.34,4.494871794871791,6375.0,46,lumen,0_otsuOffset,0,3.4181534561762668
20,output\processed_images\0_otsuOffset\membrane\strip_20.png,1.315,0.7604562737642585,200,263,63.587813620071685,3,22.59,8.408482142857139,7012.5,66,lumen,0_otsuOffset,1,6.394282998370447
20,output\processed_images\0_otsuOffset\membrane\strip_20.png,1.315,0.7604562737642585,200,263,63.587813620071685,3,16.16,5.10526315789474,5482.5,86,lumen,0_otsuOffset,2,3.882329397638585
21,output\processed_images\0_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.42401960784314,5,14.15,5.008333333333333,6247.5,36,lumen,0_otsuOffset,0,3.8086185044359944
