strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,outliers,peaks,type,index,process,membrane_type,membrane_width_nm
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,7,0.8636363636363669,13005.0,True,44,membrane,1,0_otsuOffset,inner,0.6567576909782257
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,7,13.357142857142854,7650.0,False,50,membrane,2,0_otsuOffset,inner,10.157523085279736
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,7,15.615384615384611,7650.0,False,68,membrane,3,0_otsuOffset,inner,11.87481719801111
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,7,15.42307692307692,7650.0,False,87,membrane,4,0_otsuOffset,inner,11.7285756069026
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,7,15.42307692307692,7650.0,False,94,membrane,5,0_otsuOffset,inner,11.7285756069026
10,output\processed_images\0_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,82.11111111111111,7,8.444444444444443,7650.0,False,106,membrane,6,0_otsuOffset,outer,6.421630756231515
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,6,7.958333333333332,7650.0,False,35,membrane,0,0_otsuOffset,outer,6.0519645120405565
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,6,14.621052631578948,7650.0,False,51,membrane,1,0_otsuOffset,inner,11.118671202721632
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,6,15.271264367816102,7650.0,False,73,membrane,2,0_otsuOffset,inner,11.613128796818327
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,6,1.0,1147.5,True,82,membrane,3,0_otsuOffset,inner,0.7604562737642585
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,6,14.877777777777766,7650.0,False,91,membrane,4,0_otsuOffset,inner,11.31389945078157
11,output\processed_images\0_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.70333333333333,6,6.953333333333333,7650.0,False,109,membrane,5,0_otsuOffset,outer,5.287705956907478
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,6.331851851851852,7650.0,False,20,membrane,0,0_otsuOffset,outer,4.815096465286579
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,14.121739130434785,7650.0,False,33,membrane,1,0_otsuOffset,inner,10.738965118201357
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,14.121739130434785,7650.0,False,39,membrane,2,0_otsuOffset,inner,10.738965118201357
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,15.174019607843128,7650.0,False,54,membrane,3,0_otsuOffset,inner,11.53917840900618
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,15.174019607843128,7650.0,False,60,membrane,4,0_otsuOffset,inner,11.53917840900618
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,4.666176470588226,11602.5,True,73,membrane,5,0_otsuOffset,inner,3.548423171549982
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,0.7916666666666714,11347.5,True,78,membrane,6,0_otsuOffset,inner,0.6020278833967082
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,11.888888888888886,7650.0,False,80,membrane,7,0_otsuOffset,inner,9.040980143641738
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,0.681818181818187,12240.0,True,91,membrane,8,0_otsuOffset,inner,0.5184929139301802
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,12.67857142857143,7650.0,False,96,membrane,9,0_otsuOffset,inner,9.641499185225422
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,0.5357142857142918,12367.5,True,101,membrane,10,0_otsuOffset,inner,0.4073872895165717
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,12.315315315315315,7650.0,False,111,membrane,11,0_otsuOffset,inner,9.365258794916588
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,3.231981981981974,12367.5,True,119,membrane,12,0_otsuOffset,inner,2.457780974891235
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,13.4939393939394,7650.0,False,134,membrane,13,0_otsuOffset,inner,10.261550869915892
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,13.4939393939394,7650.0,False,141,membrane,14,0_otsuOffset,inner,10.261550869915892
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,13.866015971606032,7650.0,False,154,membrane,15,0_otsuOffset,inner,10.544498837723218
12,output\processed_images\0_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,154.80837359098228,17,4.480331262939956,7650.0,True,169,membrane,16,0_otsuOffset,outer,3.407096017444833
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,1.0454545454545467,3315.0,True,27,membrane,0,0_otsuOffset,outer,0.7950224680262712
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,0.6666666666666679,2422.5,True,29,membrane,1,0_otsuOffset,inner,0.5069708491761732
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,7.402745995423341,7650.0,False,34,membrane,2,0_otsuOffset,inner,5.629464635302921
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,0.75,4080.0,True,43,membrane,3,0_otsuOffset,inner,0.5703422053231939
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,14.547619047619053,7650.0,False,53,membrane,4,0_otsuOffset,inner,11.062828173094337
