strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688587,7,18.6,7.895833333333336,7650.0,lumen,1,140_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688587,7,17.24,6.538699690402481,7650.0,lumen,2,140_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688587,7,17.37,6.769230769230759,7650.0,lumen,3,140_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688587,7,16.48,5.562937062937067,7650.0,lumen,4,140_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688587,7,17.34,6.5625,7650.0,lumen,5,140_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688587,7,13.62,5.105769230769226,7650.0,lumen,6,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,12.66,6.422794117647058,6630.0,lumen,0,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.23,7.052197802197803,7650.0,lumen,1,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,14.43,6.028750000000002,7650.0,lumen,2,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.46,6.861904761904768,7650.0,lumen,3,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.19,6.128378378378372,7650.0,lumen,4,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,14.2,5.374814814814812,7650.0,lumen,5,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.05,6.341880341880341,7650.0,lumen,6,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,14.61,5.791353383458642,7650.0,lumen,7,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.22,6.839160839160854,7650.0,lumen,8,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.34,6.901098901098891,7650.0,lumen,9,140_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,12.09,4.78985507246378,7650.0,lumen,10,140_otsuOffset
