strip,grana_height,grana_height_nm,num_lumen,repeat_distance,repeat_distance_nm,px_per_nm,nm_per_px
101,72.13333333333333,81.96969696969697,5,14.25,16.19318181818182,0.88,1.1363636363636365
106,122.55187969924812,111.91952483949599,7,17.166666666666668,15.677321156773212,1.095,0.91324200913242
134,69.8362480127186,63.77739544540511,4,17.0,15.52511415525114,1.095,0.91324200913242
135,71.76190476190476,65.53598608393128,4,17.333333333333332,15.829528158295279,1.095,0.91324200913242
161,107.23313953488373,121.85584038054971,8,13.428571428571429,15.259740259740262,0.88,1.1363636363636365
176,87.4090909090909,99.32851239669422,6,14.4,16.363636363636367,0.88,1.1363636363636365
187,79.04040404040404,89.8186409550046,5,15.75,17.897727272727273,0.88,1.1363636363636365
229,121.96480938416421,111.38338756544677,7,17.166666666666668,15.677321156773212,1.095,0.91324200913242
232,165.23076923076923,187.76223776223776,11,15.0,17.045454545454547,0.88,1.1363636363636365
