type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,13,36720,23.22,2.23,25.45,13.84,
peak,1,39,31875,7.38,34.46,41.84,38.15,24.31
peak,4,62,28305,5.7,60.7,66.4,63.55,25.4
peak,5,76,28815,5.86,73.61,79.47,76.54,12.990000000000009
peak,7,102,34425,5.23,99.31,104.54,101.92,25.379999999999995
peak,8,114,33405,5.58,111.41,116.99,114.2,12.280000000000001
peak,9,126,35700,5.39,124.03,129.42,126.73,12.530000000000001
peak,13,176,36720,5.78,173.69,179.47,176.58,49.85000000000001
peak,14,189,36720,5.74,186.36,192.11,189.23,12.649999999999977
peak,15,203,36720,5.76,199.41,205.16,202.28,13.050000000000011
trough,1,45,30855,6.65,41.97,48.62,45.29,
trough,2,47,30855,6.65,41.97,48.62,45.29,0.0
trough,3,57,29835,6.58,53.42,60.0,56.71,11.420000000000002
trough,4,70,34935,6.86,66.75,73.61,70.18,13.470000000000006
trough,5,82,35190,7.9,79.06,86.96,83.01,12.829999999999998
trough,6,96,36720,7.69,91.87,99.56,95.71,12.699999999999989
trough,7,109,36720,7.07,104.42,111.49,107.96,12.25
trough,8,121,36720,7.22,116.84,124.07,120.46,12.5
trough,9,132,36720,7.51,129.37,136.88,133.12,12.66000000000001
trough,10,145,36720,8.16,141.5,149.66,145.58,12.460000000000008
trough,11,158,36720,7.53,154.09,161.62,157.85,12.269999999999982
trough,12,170,36720,7.12,166.57,173.69,170.13,12.280000000000001
trough,13,183,36720,6.89,179.47,186.36,182.92,12.789999999999992
trough,14,195,36720,7.3,192.11,199.41,195.76,12.840000000000003
