type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,5,35445,8.86,1.07,9.93,5.5,
peak,2,37,28560,3.69,34.31,38.0,36.15,30.65
peak,3,51,28560,3.62,49.25,52.87,51.06,14.910000000000004
peak,4,66,31365,4.23,63.97,68.2,66.08,15.019999999999996
peak,5,80,35445,4.66,78.7,83.36,81.03,14.950000000000003
peak,6,95,35445,4.33,93.17,97.49,95.33,14.299999999999997
peak,8,110,32640,4.26,107.97,112.23,110.1,14.769999999999996
trough,0,16,35445,21.81,12.72,34.52,23.62,
trough,1,29,35445,21.81,12.72,34.52,23.62,0.0
trough,2,43,35445,11.72,37.76,49.48,43.62,19.999999999999996
trough,3,59,35445,11.7,52.42,64.12,58.27,14.650000000000006
trough,4,72,35445,10.67,68.03,78.7,73.37,15.100000000000001
trough,5,89,35445,9.81,83.36,93.17,88.26,14.89
trough,6,101,35445,10.59,97.49,108.08,102.79,14.530000000000001
