type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,32,32130,4.09,29.34,33.44,31.39,
peak,1,44,27795,3.89,42.25,46.15,44.2,12.810000000000002
peak,2,57,31110,3.8,54.63,58.42,56.53,12.329999999999998
peak,3,69,16830,3.79,66.71,70.5,68.61,12.079999999999998
peak,5,108,15555,3.89,104.69,108.58,106.63,38.019999999999996
peak,9,145,33150,3.88,142.8,146.67,144.73,38.099999999999994
peak,11,158,29835,4.43,154.92,159.35,157.14,12.409999999999997
peak,12,172,33150,4.36,168.89,173.25,171.07,13.930000000000007
trough,4,75,33150,73.74,69.06,142.8,105.93,
trough,5,94,33150,73.74,69.06,142.8,105.93,0.0
trough,6,113,33150,73.74,69.06,142.8,105.93,0.0
trough,7,125,33150,73.74,69.06,142.8,105.93,0.0
trough,9,137,33150,73.74,69.06,142.8,105.93,0.0
