type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,6,24735,9.62,1.5,11.12,6.31,
peak,1,21,23205,3.34,19.16,22.5,20.83,14.52
peak,2,36,20145,4.34,33.64,37.98,35.81,14.980000000000004
peak,6,51,22185,4.03,48.89,52.91,50.9,15.089999999999996
peak,7,65,20145,3.49,63.41,66.9,65.15,14.250000000000007
peak,8,79,7905,6.18,77.23,83.41,80.32,15.169999999999987
peak,10,93,19890,5.05,91.45,96.5,93.98,13.66000000000001
peak,13,109,21930,4.31,106.93,111.24,109.08,15.099999999999994
trough,1,28,24735,11.5,22.43,33.92,28.17,
trough,3,42,24735,11.38,37.66,49.04,43.35,15.18
trough,6,59,24735,10.87,52.74,63.62,58.18,14.829999999999998
trough,7,72,24735,25.03,66.64,91.67,79.16,20.979999999999997
trough,9,88,24735,25.03,66.64,91.67,79.16,0.0
trough,11,102,24735,11.92,95.17,107.09,101.13,21.97
trough,13,115,24735,6.51,111.07,117.58,114.33,13.200000000000003
