type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,2,19,42075,10.25,14.5,24.75,19.62,
peak,6,68,33150,7.8,62.07,69.87,65.97,46.349999999999994
peak,7,88,42075,10.83,83.39,94.22,88.8,22.83
peak,8,112,36975,6.91,108.27,115.18,111.72,22.92
peak,10,132,32640,6.8,129.0,135.8,132.4,20.680000000000007
peak,12,151,36465,6.51,148.75,155.26,152.0,19.599999999999994
peak,14,177,42075,12.92,170.58,183.5,177.04,25.039999999999992
trough,5,54,42075,27.72,34.93,62.65,48.79,
trough,7,77,42075,14.28,69.11,83.39,76.25,27.46
trough,8,101,42075,14.36,94.22,108.58,101.4,25.150000000000006
trough,9,121,42075,15.44,114.61,130.05,122.33,20.929999999999993
trough,12,143,42075,13.52,135.35,148.88,142.12,19.790000000000006
trough,13,158,40035,6.56,155.26,161.82,158.54,16.419999999999987
