type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,33,29835,6.09,30.48,36.58,33.53,
peak,1,47,29835,4.64,44.5,49.14,46.82,13.29
peak,2,59,29835,4.65,56.47,61.12,58.79,11.969999999999999
peak,3,71,27795,4.16,68.79,72.95,70.87,12.080000000000005
peak,4,83,29835,3.63,81.71,85.34,83.52,12.649999999999991
peak,5,95,28815,4.56,93.2,97.76,95.48,11.960000000000008
peak,6,107,27795,3.98,105.39,109.38,107.39,11.909999999999997
peak,7,120,28050,5.28,117.78,123.05,120.41,13.019999999999996
peak,8,133,29835,4.71,130.97,135.68,133.32,12.909999999999997
peak,9,147,27540,4.74,146.07,150.81,148.44,15.120000000000005
trough,1,40,29835,7.81,36.69,44.5,40.59,
trough,2,53,29835,7.33,49.14,56.47,52.8,12.209999999999994
trough,3,65,29835,7.8,61.12,68.92,65.02,12.219999999999999
trough,4,77,29835,8.84,72.86,81.71,77.28,12.260000000000005
trough,5,89,29835,7.9,85.34,93.24,89.29,12.010000000000005
trough,6,101,29835,7.76,97.73,105.49,101.61,12.319999999999993
trough,7,112,29835,8.56,109.31,117.86,113.58,11.969999999999999
trough,8,127,29835,8.04,122.93,130.97,126.95,13.370000000000005
trough,9,140,29835,9.26,135.68,144.94,140.31,13.36
