filename,x,y,scale
2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,1596,1640,200
2023-2-9_Wild Type_Dark Adapted_1_031_19k.png,428,296,200
2023-2-9_Wild Type_Dark Adapted_2_041_19k.png,312,424,200
2023-2-9_Wild Type_Dark Adapted_2_054_19k.png,1468,164,200
2023-2-9_Wild Type_Dark Adapted_2_054_19k.png,912,1136,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1792,1260,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1516,1164,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1100,972,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,768,484,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1320,356,200
2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,1404,1696,200
2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,1428,328,200
2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,1312,1696,200
2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,996,1196,200
2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,1468,296,200
2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,276,1580,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,1264,1220,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,1564,1400,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,1148,1720,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,792,1464,200
2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,1092,732,200
2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,900,660,200
2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,1060,1444,200
2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,804,944,200
2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,1016,1056,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,1268,532,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,1664,968,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,1732,464,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,716,1536,200
2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,480,1384,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1028,464,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1836,1688,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1528,568,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,1048,1252,200
2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,548,732,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1376,276,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1308,672,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1132,784,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1292,1172,200
2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,1176,1308,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,1140,208,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,1016,764,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,1296,752,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,1356,1256,200
2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,920,1856,200
