strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,membrane_width,membrane_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,5.85025641025641,7650.0,membrane,0,123_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,9.812698412698417,7650.0,membrane,1,123_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,9.793333333333337,7650.0,membrane,2,123_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,9.42140468227425,7650.0,membrane,3,123_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,10.828947368421055,7650.0,membrane,4,123_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.44,5,5.272727272727266,7650.0,membrane,5,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,6.342857142857145,7650.0,membrane,0,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,10.915848527349226,7650.0,membrane,1,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,11.120370370370367,7650.0,membrane,2,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,12.785714285714278,7650.0,membrane,3,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,11.294685990338166,7650.0,membrane,4,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,11.133333333333326,7650.0,membrane,5,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,10.924158342582317,7650.0,membrane,6,123_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.77678571428572,7,7.362500000000011,7650.0,membrane,7,123_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.89692307692307,4,6.785256410256409,7650.0,membrane,0,123_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.89692307692307,4,11.745528455284557,7650.0,membrane,1,123_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.89692307692307,4,12.094117647058823,7650.0,membrane,2,123_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.89692307692307,4,12.113756613756621,7650.0,membrane,3,123_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.89692307692307,4,8.059130434782602,7650.0,membrane,4,123_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,8.5625,7650.0,membrane,0,123_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,11.736923076923077,7650.0,membrane,1,123_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,28.748917748917755,7650.0,membrane,2,123_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,28.748917748917755,7650.0,membrane,3,123_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.9425,4,7.713333333333324,7650.0,membrane,4,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,5.6436781609195386,7650.0,membrane,0,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,9.097222222222221,7650.0,membrane,1,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,9.444144144144147,7650.0,membrane,2,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,9.565040650406502,7650.0,membrane,3,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,9.350096711798841,7650.0,membrane,4,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,9.720081135902646,7650.0,membrane,5,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,9.24242424242425,7650.0,membrane,6,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,8.842352941176458,7650.0,membrane,7,123_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.16748768472907,8,4.6466165413533815,7650.0,membrane,8,123_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.44100580270793,6,5.876742479823918,7650.0,membrane,0,123_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.44100580270793,6,10.644137931034486,7650.0,membrane,1,123_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.44100580270793,6,10.205357142857146,7650.0,membrane,2,123_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.44100580270793,6,9.357142857142854,7650.0,membrane,3,123_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.44100580270793,6,9.942233632862653,7650.0,membrane,4,123_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.44100580270793,6,9.802325581395351,7650.0,membrane,5,123_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.44100580270793,6,5.262032085561501,7650.0,membrane,6,123_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.83333333333333,5,5.75,7650.0,membrane,0,123_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.83333333333333,5,10.73170731707317,7650.0,membrane,1,123_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.83333333333333,5,10.80294117647059,7650.0,membrane,2,123_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.83333333333333,5,10.252173913043485,7650.0,membrane,3,123_otsuOffset
