strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,outliers,peaks,type,index,process,membrane_type,membrane_width_nm
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,6.607142857142858,7650.0,False,27,membrane,0,0_otsuOffset,outer,6.0339204174820615
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,11.501689189189186,7650.0,False,42,membrane,1,0_otsuOffset,inner,10.503825743551769
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,11.709677419354833,7650.0,False,59,membrane,2,0_otsuOffset,inner,10.69376933274414
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,13.214285714285708,7650.0,False,78,membrane,3,0_otsuOffset,inner,12.067840834964116
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,11.837500000000006,7650.0,False,95,membrane,4,0_otsuOffset,inner,10.810502283105029
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,12.00793650793652,7650.0,False,112,membrane,5,0_otsuOffset,inner,10.966152062042484
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,11.429381735677836,7650.0,False,129,membrane,6,0_otsuOffset,inner,10.437791539431814
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,8,7.909090909090906,7650.0,False,144,membrane,7,0_otsuOffset,outer,7.222914072229137
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,7.917701863354036,7650.0,False,25,membrane,0,0_otsuOffset,outer,7.230777957400946
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,12.334096109839813,7650.0,False,40,membrane,1,0_otsuOffset,inner,11.264014712182476
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,12.666666666666664,7650.0,False,58,membrane,2,0_otsuOffset,inner,11.567732115677318
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,12.373333333333337,7650.0,False,75,membrane,3,0_otsuOffset,inner,11.29984779299848
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,8.286634460547504,7650.0,False,89,membrane,4,0_otsuOffset,outer,7.56770270369635
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,8.785714285714285,7650.0,False,27,membrane,0,0_otsuOffset,outer,8.023483365949119
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,12.415686274509802,7650.0,False,42,membrane,1,0_otsuOffset,inner,11.338526278091145
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,13.705936920222626,7650.0,False,61,membrane,2,0_otsuOffset,inner,12.516837370066323
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,11.21875,7650.0,False,76,membrane,3,0_otsuOffset,inner,10.245433789954337
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,8.13095238095238,7650.0,False,90,membrane,4,0_otsuOffset,outer,7.4255272885409855
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,5.94638242894057,7650.0,False,26,membrane,0,0_otsuOffset,outer,6.757252760159739
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,9.464473684210525,7650.0,False,37,membrane,1,0_otsuOffset,inner,10.755083732057416
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,9.623376623376622,7650.0,False,51,membrane,2,0_otsuOffset,inner,10.935655253837073
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,10.030241935483872,7650.0,False,64,membrane,3,0_otsuOffset,inner,11.398002199413492
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,9.908004778972526,7650.0,False,79,membrane,4,0_otsuOffset,inner,11.259096339741507
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,10.3010752688172,7650.0,False,91,membrane,5,0_otsuOffset,inner,11.705767350928635
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,10.0,7650.0,False,104,membrane,6,0_otsuOffset,inner,11.363636363636363
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,9.771958537915978,7650.0,False,118,membrane,7,0_otsuOffset,inner,11.104498338540886
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9,5.467741935483872,7650.0,False,128,membrane,8,0_otsuOffset,outer,6.2133431085044
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,6.034920634920635,7650.0,False,25,membrane,0,0_otsuOffset,outer,6.857864357864359
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,10.89578163771712,7650.0,False,37,membrane,1,0_otsuOffset,inner,12.381570042860364
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,10.30952380952381,7650.0,False,52,membrane,2,0_otsuOffset,inner,11.715367965367967
