strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,92.98333333333333,7,12.15,3.055555555555557,7650.0,lumen,0,113_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,92.98333333333333,7,14.13,2.9358552631578974,7650.0,lumen,1,113_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,92.98333333333333,7,14.03,3.152406417112296,7650.0,lumen,2,113_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,92.98333333333333,7,15.38,4.138622493461213,6757.5,lumen,3,113_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,92.98333333333333,7,12.15,3.217194570135746,6120.0,lumen,4,113_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,92.98333333333333,7,13.37,5.200000000000003,13260.0,lumen,5,113_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,92.98333333333333,7,7.18,3.25,13132.5,lumen,6,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,11.68,4.8703007518797,11602.5,lumen,0,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,14.86,4.405034324942793,7650.0,lumen,1,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,17.74,4.754838709677415,7650.0,lumen,2,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,26.52,4.596491228070164,7012.5,lumen,3,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,0.0,3.42307692307692,3060.0,lumen,4,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,25.41,3.3888888888888857,7650.0,lumen,5,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,9.31,4.4261904761904844,5482.5,lumen,6,113_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,145.5625,10,7.86,0.5166666666666657,8797.5,lumen,7,113_otsuOffset
