strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index
0,output\processed_images\2_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.84761904761905,4,0.0,4.020833333333329,2167.5,65,lumen,2_otsuOffset,0
0,output\processed_images\2_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.84761904761905,4,36.62,3.8014888337469017,7650.0,85,lumen,2_otsuOffset,1
0,output\processed_images\2_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.84761904761905,4,28.42,4.69142857142856,6885.0,107,lumen,2_otsuOffset,2
0,output\processed_images\2_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.84761904761905,4,0.0,4.38942307692308,3697.5,128,lumen,2_otsuOffset,3
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,0.0,3.166666666666668,1020.0,31,lumen,2_otsuOffset,0
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,27.74,6.7407407407407405,6885.0,40,lumen,2_otsuOffset,1
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,21.64,6.8125,7650.0,61,lumen,2_otsuOffset,2
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,21.67,7.1821946169772275,7650.0,84,lumen,2_otsuOffset,3
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,0.0,2.75,1147.5,96,lumen,2_otsuOffset,4
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,20.56,6.164335664335653,6120.0,106,lumen,2_otsuOffset,5
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,16.03,4.976190476190467,6630.0,124,lumen,2_otsuOffset,6
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,3.02,0.5833333333333428,2422.5,132,lumen,2_otsuOffset,7
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,21.39,5.4090909090909065,7650.0,144,lumen,2_otsuOffset,8
1,output\processed_images\2_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.85064935064935,10,14.75,3.7668308702791364,6375.0,164,lumen,2_otsuOffset,9
10,output\processed_images\2_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,83.39473684210526,5,10.26,4.3366459627329235,6502.5,39,lumen,2_otsuOffset,0
10,output\processed_images\2_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,83.39473684210526,5,5.51,0.6000000000000014,1147.5,44,lumen,2_otsuOffset,1
10,output\processed_images\2_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,83.39473684210526,5,19.93,4.1706349206349245,6757.5,58,lumen,2_otsuOffset,2
10,output\processed_images\2_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,83.39473684210526,5,28.69,5.35249042145594,7650.0,80,lumen,2_otsuOffset,3
10,output\processed_images\2_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,83.39473684210526,5,0.0,4.064393939393938,2167.5,100,lumen,2_otsuOffset,4
11,output\processed_images\2_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,82.72222222222221,5,15.02,4.5,4335.0,41,lumen,2_otsuOffset,0
