strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,membrane_width,membrane_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,5.947252747252747,7650.0,membrane,0,189_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,10.645161290322584,7650.0,membrane,1,189_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,10.737042682926827,7650.0,membrane,2,189_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,10.173913043478258,7650.0,membrane,3,189_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,11.160256410256409,7650.0,membrane,4,189_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,5.5,7650.0,membrane,5,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,7.51923076923077,7650.0,membrane,0,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,11.974074074074075,7650.0,membrane,1,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,12.157142857142865,7650.0,membrane,2,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,13.41923076923078,7650.0,membrane,3,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,12.085388994307408,7650.0,membrane,4,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,11.9375,7650.0,membrane,5,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,11.872679045092838,7650.0,membrane,6,189_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,124.09065934065936,7,8.268796992481214,7650.0,membrane,7,189_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.51625,5,2.9155555555555566,7267.5,membrane,0,189_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.51625,5,7.984195402298848,7650.0,membrane,1,189_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.51625,5,12.801435406698566,7650.0,membrane,2,189_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.51625,5,12.96491228070176,7650.0,membrane,3,189_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.51625,5,13.799999999999997,7650.0,membrane,4,189_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,80.51625,5,8.816249999999997,7650.0,membrane,5,189_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,87.85788113695091,6,8.802325581395348,7650.0,membrane,0,189_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,87.85788113695091,6,13.102564102564102,7650.0,membrane,1,189_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,87.85788113695091,6,29.334448160535125,7650.0,membrane,2,189_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,87.85788113695091,6,29.334448160535125,7650.0,membrane,3,189_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,87.85788113695091,6,1.0,3570.0,membrane,4,189_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,87.85788113695091,6,8.561428571428564,7650.0,membrane,5,189_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,87.85788113695091,6,6.646464646464651,3825.0,membrane,6,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,6.006684491978611,7650.0,membrane,0,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,10.055194805194809,7650.0,membrane,1,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,9.698564593301434,7650.0,membrane,2,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,9.95333333333334,7650.0,membrane,3,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,9.739495798319325,7650.0,membrane,4,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,9.905241935483872,7650.0,membrane,5,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,10.085185185185182,7650.0,membrane,6,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,9.875,7650.0,membrane,7,189_otsuOffset
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,108.6877990430622,8,5.694397283531416,7650.0,membrane,8,189_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,6.064264264264267,7650.0,membrane,0,189_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,10.735732009925556,7650.0,membrane,1,189_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,10.436635944700463,7650.0,membrane,2,189_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,10.621007371007373,7650.0,membrane,3,189_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,10.742857142857133,7650.0,membrane,4,189_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,10.48171701112878,7650.0,membrane,5,189_otsuOffset
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6,5.790476190476184,7650.0,membrane,6,189_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,80.44444444444444,5,7.045454545454547,7650.0,membrane,0,189_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,80.44444444444444,5,11.190476190476193,7650.0,membrane,1,189_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,80.44444444444444,5,11.42307692307692,7650.0,membrane,2,189_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,80.44444444444444,5,11.17099567099568,7650.0,membrane,3,189_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,80.44444444444444,5,11.011695906432749,7650.0,membrane,4,189_otsuOffset
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,80.44444444444444,5,6.486111111111114,7650.0,membrane,5,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,6.9375,7650.0,membrane,0,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,12.145833333333336,7650.0,membrane,1,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,11.991935483870968,7650.0,membrane,2,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,12.284090909090907,7650.0,membrane,3,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,12.0,7650.0,membrane,4,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,12.382352941176464,7650.0,membrane,5,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,11.24519230769232,7650.0,membrane,6,189_otsuOffset
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.875,7,7.627155172413779,7650.0,membrane,7,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,0.5625,1912.5,membrane,0,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,6.251752021563345,7650.0,membrane,1,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,9.910750507099394,7650.0,membrane,2,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,10.09276018099547,7650.0,membrane,3,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,10.138392857142861,7650.0,membrane,4,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,9.601190476190467,7650.0,membrane,5,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,11.461956521739125,7650.0,membrane,6,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,8.967741935483872,7650.0,membrane,7,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,10.620000000000005,7650.0,membrane,8,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,9.309523809523824,7650.0,membrane,9,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,9.769230769230774,7650.0,membrane,10,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,9.585714285714289,7650.0,membrane,11,189_otsuOffset
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,167.5625,12,7.5,7650.0,membrane,12,189_otsuOffset
