strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,outliers,peaks,type,index,process,membrane_type
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,2.5,4590.0,false,23,membrane,0,7_otsuOffset,outer
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,1.0,5355.0,false,27,membrane,1,7_otsuOffset,inner
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,1.5,7650.0,false,31,membrane,2,7_otsuOffset,inner
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,30.916666666666664,7650.0,false,49,membrane,3,7_otsuOffset,inner
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,19.972222222222214,7650.0,false,75,membrane,4,7_otsuOffset,inner
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,18.742424242424235,7650.0,false,96,membrane,5,7_otsuOffset,inner
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,32.11904761904762,7650.0,false,117,membrane,6,7_otsuOffset,inner
0,output\processed_images\7_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,118.86904761904762,8,54.52813852813853,7650.0,false,134,membrane,7,7_otsuOffset,outer
1,output\processed_images\7_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,167.16666666666666,10,30.142857142857146,7650.0,false,24,membrane,0,7_otsuOffset,outer
1,output\processed_images\7_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,167.16666666666666,10,16.57857142857143,7650.0,false,51,membrane,1,7_otsuOffset,inner
1,output\processed_images\7_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,167.16666666666666,10,16.65182186234817,7650.0,false,72,membrane,2,7_otsuOffset,inner
1,output\processed_images\7_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,167.16666666666666,10,57.2,7650.0,false,94,membrane,3,7_otsuOffset,inner
1,output\processed_images\7_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,167.16666666666666,10,0.9916666666666742,13132.5,false,105,membrane,4,7_otsuOffset,inner
