strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,membrane_width,membrane_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,5.5,3570.0,membrane,0,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,0.6111111111111107,2040.0,membrane,1,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,7.285714285714285,7650.0,membrane,2,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,11.626689189189186,7650.0,membrane,3,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,11.355072463768117,7650.0,membrane,4,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,11.1804330392943,7650.0,membrane,5,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,12.970588235294116,7650.0,membrane,6,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,7.285714285714292,7650.0,membrane,7,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,5.320238095238096,4717.5,membrane,8,116_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,106.3,9,1.7999999999999972,3570.0,membrane,9,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,0.666666666666667,2422.5,membrane,0,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,5.762962962962963,3697.5,membrane,1,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,8.24640522875817,7650.0,membrane,2,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,13.483306836248012,7650.0,membrane,3,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,13.36862745098039,7650.0,membrane,4,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,31.597222222222214,7650.0,membrane,5,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,31.597222222222214,7650.0,membrane,6,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,14.032967032967036,7650.0,membrane,7,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,0.5555555555555571,6757.5,membrane,8,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,26.5090909090909,7650.0,membrane,9,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,26.5090909090909,7650.0,membrane,10,116_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,151.66666666666666,11,6.8125,4590.0,membrane,11,116_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,83.18478260869566,5,4.704545454545455,7395.0,membrane,0,116_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,83.18478260869566,5,8.936545240893068,7650.0,membrane,1,116_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,83.18478260869566,5,14.123481781376519,7650.0,membrane,2,116_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,83.18478260869566,5,14.402777777777771,7650.0,membrane,3,116_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,83.18478260869566,5,26.368115942028993,7650.0,membrane,4,116_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,83.18478260869566,5,26.368115942028993,7650.0,membrane,5,116_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,103.77403846153847,8,1.0,4207.5,membrane,0,116_otsuOffset
