strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,membrane_width,membrane_width_heights,type,index,process,membrane_width_nm
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,5.546332046332047,7650.0,membrane,0,100_otsuOffset,6.302650052650054
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,9.626689189189186,7650.0,membrane,1,100_otsuOffset,10.93941953316953
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,9.33529411764706,7650.0,membrane,2,100_otsuOffset,10.608288770053477
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,9.078626799557028,7650.0,membrane,3,100_otsuOffset,10.316621363132988
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,10.21052631578948,7650.0,membrane,4,100_otsuOffset,11.602870813397137
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,4.916666666666671,7650.0,membrane,5,100_otsuOffset,5.587121212121218
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,6.272727272727273,7650.0,membrane,0,100_otsuOffset,5.728518057285181
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,10.655238095238095,7650.0,membrane,1,100_otsuOffset,9.73081104587954
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,10.845878136200724,7650.0,membrane,2,100_otsuOffset,9.904911539909337
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,12.126373626373637,7650.0,membrane,3,100_otsuOffset,11.07431381403985
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,10.939393939393938,7650.0,membrane,4,100_otsuOffset,9.99031409990314
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,10.882758620689655,7650.0,membrane,5,100_otsuOffset,9.938592347661785
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,10.488304093567251,7650.0,membrane,6,100_otsuOffset,9.578359902801141
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,7.136116152450086,7650.0,membrane,7,100_otsuOffset,6.517001052465831
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,6.545454545454543,7650.0,membrane,0,100_otsuOffset,5.977584059775838
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,11.577819198508848,7650.0,membrane,1,100_otsuOffset,10.573350866218126
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,11.90344827586206,7650.0,membrane,2,100_otsuOffset,10.870729019052108
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,11.651515151515142,7650.0,membrane,3,100_otsuOffset,10.640653106406521
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,7.899259259259253,7650.0,membrane,4,100_otsuOffset,7.213935396583793
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,7.914285714285715,7650.0,membrane,0,100_otsuOffset,7.227658186562296
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,11.382352941176473,7650.0,membrane,1,100_otsuOffset,10.394842868654312
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,12.547619047619044,7650.0,membrane,2,100_otsuOffset,11.459012828875839
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,10.744343891402709,7650.0,membrane,3,100_otsuOffset,9.812186202194255
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,7.430000000000007,7650.0,membrane,4,100_otsuOffset,6.785388127853887
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,4.435897435897438,7650.0,membrane,0,100_otsuOffset,5.040792540792544
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,8.835897435897436,7650.0,membrane,1,100_otsuOffset,10.040792540792543
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,9.10326086956522,7650.0,membrane,2,100_otsuOffset,10.344614624505933
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,9.099358974358973,7650.0,membrane,3,100_otsuOffset,10.340180652680651
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,8.834065934065933,7650.0,membrane,4,100_otsuOffset,10.038711288711289
