strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process,lumen_width_nm
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,15.41,5.2710526315789465,7650.0,lumen,2,100_otsuOffset,5.989832535885167
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,16.01,5.9612068965517295,7650.0,lumen,3,100_otsuOffset,6.774098746081512
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,12.86,5.529411764705884,7650.0,lumen,4,100_otsuOffset,6.283422459893051
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,15.0,6.601626016260159,7650.0,lumen,0,100_otsuOffset,6.028882206630282
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,18.6,7.895833333333336,7650.0,lumen,1,100_otsuOffset,7.210806697108069
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,17.24,6.538699690402481,7650.0,lumen,2,100_otsuOffset,5.971415242376695
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,17.37,6.769230769230759,7650.0,lumen,3,100_otsuOffset,6.1819459079732955
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,16.48,5.562937062937067,7650.0,lumen,4,100_otsuOffset,5.080307820033851
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,17.34,6.5625,7650.0,lumen,5,100_otsuOffset,5.993150684931506
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,13.62,5.105769230769226,7650.0,lumen,6,100_otsuOffset,4.6628029504741795
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,12.66,6.422794117647058,6630.0,lumen,0,100_otsuOffset,7.298629679144384
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.23,7.052197802197803,7650.0,lumen,1,100_otsuOffset,8.01386113886114
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,14.43,6.028750000000002,7650.0,lumen,2,100_otsuOffset,6.850852272727276
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.46,6.861904761904768,7650.0,lumen,3,100_otsuOffset,7.7976190476190546
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.19,6.128378378378372,7650.0,lumen,4,100_otsuOffset,6.964066339066332
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,14.2,5.374814814814812,7650.0,lumen,5,100_otsuOffset,6.107744107744105
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.05,6.341880341880341,7650.0,lumen,6,100_otsuOffset,7.206682206682206
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,14.61,5.791353383458642,7650.0,lumen,7,100_otsuOffset,6.581083390293911
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.22,6.839160839160854,7650.0,lumen,8,100_otsuOffset,7.771773680864608
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,15.34,6.901098901098891,7650.0,lumen,9,100_otsuOffset,7.842157842157831
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,12.09,4.78985507246378,7650.0,lumen,10,100_otsuOffset,5.4430171277997506
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,12.12,4.358974358974358,7650.0,lumen,0,101_otsuOffset,4.953379953379953
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,14.33,4.7390029325513225,7650.0,lumen,1,101_otsuOffset,5.385230605171958
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,13.97,4.616611295681068,7650.0,lumen,2,101_otsuOffset,5.2461491996375775
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,14.93,4.952069716775597,7650.0,lumen,3,101_otsuOffset,5.62735195088136
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,12.52,4.516746411483254,7650.0,lumen,4,101_otsuOffset,5.132666376685516
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,14.77,6.287114845938376,7650.0,lumen,0,101_otsuOffset,5.741657393551028
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,17.64,6.867521367521363,7650.0,lumen,1,101_otsuOffset,6.271709011435034
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,18.23,6.427419354838705,7650.0,lumen,2,101_otsuOffset,5.869789365149502
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,16.93,5.537393162393158,6502.5,lumen,3,101_otsuOffset,5.056980056980053
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,16.99,6.044757033248089,7650.0,lumen,4,101_otsuOffset,5.520326057760812
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,16.85,6.037241379310345,7650.0,lumen,5,101_otsuOffset,5.513462446858762
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,14.44,5.474137931034477,7650.0,lumen,6,101_otsuOffset,4.999212722405915
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,14.81,5.660919540229887,7650.0,lumen,0,101_otsuOffset,5.169789534456518
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,17.53,5.700000000000003,7650.0,lumen,1,101_otsuOffset,5.205479452054797
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,16.91,5.238095238095227,7140.0,lumen,2,101_otsuOffset,4.783648619265047
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.73454545454545,4,14.2,4.289855072463766,7650.0,lumen,3,101_otsuOffset,3.9176758652637127
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,16.01,6.0882352941176485,7650.0,lumen,0,101_otsuOffset,5.5600322320709115
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,18.36,6.368686868686872,7650.0,lumen,1,101_otsuOffset,5.81615239149486
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,16.17,4.74835526315789,6757.5,lumen,2,101_otsuOffset,4.336397500600813
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.82173174872665,4,14.28,4.954044117647058,7650.0,lumen,3,101_otsuOffset,4.5242412033306465
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,11.41,4.314285714285717,7650.0,lumen,0,101_otsuOffset,4.902597402597406
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,14.02,4.949999999999996,7650.0,lumen,1,101_otsuOffset,5.624999999999996
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,13.96,4.673754152823925,7650.0,lumen,2,101_otsuOffset,5.311084264572642
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,13.77,4.656271656271656,7650.0,lumen,3,101_otsuOffset,5.291217791217791
