strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,outliers,peaks,type,index,process,membrane_type
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,6.184210526315788,7650.0,false,39,membrane,0,5_otsuOffset,outer
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,20.5,7650.0,false,52,membrane,1,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,3.5416666666666714,7650.0,false,68,membrane,2,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,13.32352941176471,7650.0,false,76,membrane,3,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,15.881249999999994,7650.0,false,92,membrane,4,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,15.881249999999994,7650.0,false,99,membrane,5,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,5.0,7650.0,false,112,membrane,6,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,10.804347826086953,7650.0,false,121,membrane,7,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,0.5357142857142776,7012.5,false,129,membrane,8,5_otsuOffset,inner
0,output\processed_images\5_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,104.7953216374269,10,9.078853046594986,7650.0,false,134,membrane,9,5_otsuOffset,outer
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,7.703349282296651,7650.0,false,14,membrane,0,5_otsuOffset,outer
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,14.674662668665668,7650.0,false,25,membrane,1,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,14.674662668665668,7650.0,false,35,membrane,2,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,14.777777777777779,7650.0,false,51,membrane,3,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,13.337500000000006,7650.0,false,71,membrane,4,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,0.5416666666666714,12877.5,false,77,membrane,5,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,0.9090909090909065,5992.5,false,87,membrane,6,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,0.5625,8670.0,false,89,membrane,7,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,12.0625,7650.0,false,93,membrane,8,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,0.5833333333333286,13132.5,false,98,membrane,9,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,0.6666666666666714,9435.0,false,100,membrane,10,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,15.448717948717942,7650.0,false,113,membrane,11,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,0.7083333333333286,13132.5,false,120,membrane,12,5_otsuOffset,inner
1,output\processed_images\5_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,163.06926406926405,17,2.5999999999999943,12622.5,false,130,membrane,13,5_otsuOffset,inner
