strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,12.14,4.22894736842105,7650.0,lumen,0,124_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,14.45,4.550264550264551,7650.0,lumen,1,124_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,13.86,4.210526315789473,7650.0,lumen,2,124_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,14.94,4.747826086956522,7650.0,lumen,3,124_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.46153846153845,5,12.36,4.111111111111114,7650.0,lumen,4,124_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.91666666666666,7,14.83,6.161038961038962,7650.0,lumen,0,124_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.91666666666666,7,17.67,6.624731182795699,7650.0,lumen,1,124_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.91666666666666,7,18.12,6.109459459459458,7650.0,lumen,2,124_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.91666666666666,7,16.84,5.130050505050505,6247.5,lumen,3,124_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.91666666666666,7,16.94,5.566666666666677,7650.0,lumen,4,124_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.91666666666666,7,17.15,5.8984848484848555,7650.0,lumen,5,124_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.91666666666666,7,14.43,5.133962264150938,7650.0,lumen,6,124_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.96822742474917,4,14.79,5.490769230769235,7650.0,lumen,0,124_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.96822742474917,4,17.55,5.487804878048777,7650.0,lumen,1,124_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.96822742474917,4,16.98,5.038888888888891,7012.5,lumen,2,124_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.96822742474917,4,14.15,4.23499361430396,6757.5,lumen,3,124_otsuOffset
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,73.0343137254902,4,16.23,5.911764705882355,7650.0,lumen,0,124_otsuOffset
